1,-1.800,0.800,0.153,0.000,0.000,0.000,1,2
2,-1.800,0.800,0.473,0.000,0.000,0.000,1,2
3,-1.800,0.800,0.808,0.000,0.000,0.000,1,2
4,-1.800,0.800,1.088,0.000,0.000,0.000,1,2
5,-1.800,0.800,1.290,0.000,0.000,0.000,-1,-1
6,-1.800,0.800,1.420,0.000,0.000,0.000,-1,-1
7,-1.800,0.800,1.493,0.000,0.129,0.129,-1,-1
8,-1.799,0.799,1.522,0.000,0.209,0.209,-1,-1
9,-1.798,0.798,1.534,0.000,0.212,0.212,-1,-1
10,-1.796,0.796,1.533,-0.046,0.028,0.210,-1,-1
11,-1.794,0.793,1.527,0.018,-0.138,0.161,-1,-1
12,-1.792,0.790,1.519,0.104,-0.223,0.088,-1,-1
13,-1.791,0.786,1.512,0.128,-0.221,-0.164,-1,-1
14,-1.791,0.783,1.506,0.147,-0.157,-0.332,-1,-1
15,-1.791,0.781,1.507,-3.395,-0.079,-0.376,5.0,-1
16,-1.792,0.780,1.507,-10.051,-0.014,-0.306,5.0,-1
17,-1.792,0.780,1.507,-17.933,0.013,-0.167,5.0,-1
18,-1.792,0.781,1.508,-26.199,0.000,-0.027,5.0,-1
19,-1.792,0.782,1.508,-34.421,-0.027,0.065,5.0,-1
20,-1.793,0.783,1.509,-42.369,-0.039,0.096,5.0,-1
21,-1.793,0.783,1.509,-49.928,-0.023,0.079,5.0,-1
22,-1.794,0.784,1.509,-57.053,0.013,0.041,5.0,-1
23,-1.795,0.784,1.509,-63.730,0.050,0.001,5.0,-1
24,-1.796,0.785,1.510,-69.970,0.070,-0.030,5.0,-1
25,-1.797,0.785,1.510,-75.788,0.067,-0.050,5.0,-1
26,-1.797,0.785,1.510,-81.207,0.043,-0.059,5.0,-1
27,-1.798,0.784,1.504,-86.250,0.009,-0.058,5.0,-1
28,-1.798,0.784,1.503,-90.805,-0.023,-0.048,5.0,-1
29,-1.798,0.784,1.502,-94.754,-0.043,-0.031,5.0,-1
30,-1.797,0.784,1.501,-98.003,-0.048,-0.010,5.0,-1
31,-1.797,0.784,1.500,-100.493,-0.040,0.011,5.0,-1
32,-1.797,0.784,1.499,-102.206,-0.022,0.025,5.0,-1
33,-1.797,0.785,1.499,-103.158,-0.002,0.029,5.0,-1
34,-1.797,0.785,1.498,-103.399,0.014,0.025,5.0,-1
35,-1.797,0.785,1.498,-103.003,0.023,0.015,5.0,-1
36,-1.797,0.786,1.497,-102.066,0.023,0.003,5.0,-1
37,-1.797,0.786,1.497,-100.695,0.017,-0.006,5.0,-1
38,-1.797,0.786,1.496,-99.005,0.008,-0.011,5.0,-1
39,-1.797,0.786,1.496,-97.112,-0.000,-0.010,5.0,-1
40,-1.797,0.786,1.495,-95.124,-0.006,-0.007,5.0,-1
41,-1.797,0.786,1.495,-93.145,-0.007,-0.002,5.0,-1
42,-1.797,0.786,1.495,-91.262,-0.005,0.001,5.0,-1
43,-1.797,0.787,1.494,-89.550,-0.002,0.003,5.0,-1
44,-1.797,0.787,1.494,-88.065,0.001,0.003,5.0,-1
45,-1.797,0.787,1.494,-86.846,0.003,0.002,5.0,-1
46,-1.797,0.787,1.494,-85.918,0.004,0.001,5.0,-1
47,-1.797,0.787,1.494,-85.287,0.003,-0.001,5.0,-1
48,-1.797,0.787,1.493,-84.946,0.002,-0.001,5.0,-1
49,-1.797,0.788,1.493,-84.875,0.001,-0.002,5.0,-1
50,-1.797,0.788,1.493,-85.044,-0.000,-0.001,5.0,-1
51,-1.797,0.788,1.493,-85.418,-0.001,-0.001,5.0,-1
52,-1.797,0.788,1.493,-85.954,-0.001,-0.000,5.0,-1
53,-1.797,0.788,1.493,-86.609,-0.000,0.000,5.0,-1
54,-1.797,0.788,1.493,-87.338,0.000,0.000,5.0,-1
55,-1.797,0.788,1.492,-88.099,0.001,0.000,5.0,-1
56,-1.798,0.789,1.492,-88.855,0.001,-0.000,5.0,-1
57,-1.798,0.789,1.492,-89.571,0.001,-0.000,5.0,-1
58,-1.798,0.789,1.492,-90.220,0.001,-0.001,5.0,-1
59,-1.798,0.789,1.492,-90.781,0.000,-0.001,5.0,-1
60,-1.798,0.789,1.492,-91.240,0.000,-0.001,5.0,-1
61,-1.798,0.789,1.492,-91.582,-0.000,-0.001,5.0,-1
62,-1.798,0.789,1.492,-91.812,-0.000,-0.000,5.0,-1
63,-1.798,0.790,1.492,-91.932,-0.000,-0.000,5.0,-1
64,-1.798,0.790,1.492,-91.949,-0.006,-0.183,5.0,-1
65,-1.797,0.790,1.492,-91.875,-0.005,-0.315,5.0,-1
